CHECK: "SERVER URL"	ALERTS:1	TOP SEVERITY:Low
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"String schema without a maximum length"
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"String schema without a pattern"
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"String schema without a minimum length"
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"String schema without a maximum length"
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"String schema without a pattern"
CHECK: "ARRAY ATTRIBUTES"	ALERTS:10	TOP SEVERITY:Low
LEVEL:Info	LOCATION:"swagger rooot path:/redirect/ method:GET response status:422  media type:application/json prop:detail"	DESCRIPTION:"Array schema without an item minimum"
LEVEL:Low	LOCATION:"swagger rooot path:/redirect/ method:GET response status:422  media type:application/json prop:detail"	DESCRIPTION:"Array schema without an item maximum"
LEVEL:Info	LOCATION:"swagger rooot path:/int_min_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Array schema without an item minimum"
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Array schema without an item maximum"
LEVEL:Info	LOCATION:"swagger rooot path:/int_min_max/ method:POST response status:422  media type:application/json prop:detail"	DESCRIPTION:"Array schema without an item minimum"
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST response status:422  media type:application/json prop:detail"	DESCRIPTION:"Array schema without an item maximum"
LEVEL:Info	LOCATION:"swagger rooot path:/str_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Array schema without an item minimum"
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Array schema without an item maximum"
LEVEL:Info	LOCATION:"swagger rooot path:/str_max/ method:POST response status:422  media type:application/json prop:detail"	DESCRIPTION:"Array schema without an item minimum"
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST response status:422  media type:application/json prop:detail"	DESCRIPTION:"Array schema without an item maximum"
CHECK: "OBJECT ATTRIBUTES"	ALERTS:30	TOP SEVERITY:Low
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Object schema without minimum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Object schema without maximum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Object schema without properties"
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST response status:422  media type:application/json"	DESCRIPTION:"Object schema without minimum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST response status:422  media type:application/json"	DESCRIPTION:"Object schema without maximum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Object schema without minimum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Object schema without maximum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Object schema without properties"
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST response status:422  media type:application/json"	DESCRIPTION:"Object schema without minimum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST response status:422  media type:application/json"	DESCRIPTION:"Object schema without maximum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/redirect/ method:GET response status:422  media type:application/json"	DESCRIPTION:"Object schema without minimum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/redirect/ method:GET response status:422  media type:application/json"	DESCRIPTION:"Object schema without maximum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Object schema without minimum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Object schema without maximum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Object schema without properties"
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST response status:200  media type:application/json"	DESCRIPTION:"Object schema without minimum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST response status:200  media type:application/json"	DESCRIPTION:"Object schema without maximum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST response status:200  media type:application/json"	DESCRIPTION:"Object schema without properties"
LEVEL:Low	LOCATION:"swagger rooot path:/redirect/ method:GET response status:200  media type:application/json"	DESCRIPTION:"Object schema without minimum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/redirect/ method:GET response status:200  media type:application/json"	DESCRIPTION:"Object schema without maximum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/redirect/ method:GET response status:200  media type:application/json"	DESCRIPTION:"Object schema without properties"
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Object schema without minimum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Object schema without maximum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"Object schema without properties"
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST response status:200  media type:application/json"	DESCRIPTION:"Object schema without minimum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST response status:200  media type:application/json"	DESCRIPTION:"Object schema without maximum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/int_min_max/ method:POST response status:200  media type:application/json"	DESCRIPTION:"Object schema without properties"
LEVEL:Low	LOCATION:"swagger rooot path:/items/ method:GET response status:200  media type:application/json"	DESCRIPTION:"Object schema without minimum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/items/ method:GET response status:200  media type:application/json"	DESCRIPTION:"Object schema without maximum properties"
LEVEL:Low	LOCATION:"swagger rooot path:/items/ method:GET response status:200  media type:application/json"	DESCRIPTION:"Object schema without properties"
CHECK: "VALID RESPONSES"	ALERTS:0	TOP SEVERITY:Info
CHECK: "METHOD PERMISSIONS"	ALERTS:0	TOP SEVERITY:Info
CHECK: "CONTAINS OPERATION"	ALERTS:0	TOP SEVERITY:Info
CHECK: "VALID ENCODINGS"	ALERTS:0	TOP SEVERITY:Info
CHECK: "DESCRIPTION"	ALERTS:4	TOP SEVERITY:Low
LEVEL:Low	LOCATION:"swagger path:/int_min_max/ operation:POST"	DESCRIPTION:"Operation has no description"
LEVEL:Low	LOCATION:"swagger path:/items/ operation:GET"	DESCRIPTION:"Operation has no description"
LEVEL:Low	LOCATION:"swagger path:/str_max/ operation:POST"	DESCRIPTION:"Operation has no description"
LEVEL:Low	LOCATION:"swagger path:/redirect/ operation:GET"	DESCRIPTION:"Operation has no description"
CHECK: "CONTAINS RESPONSE"	ALERTS:0	TOP SEVERITY:Info
